"Issue Type","Summary","Description","Priority","Labels"
"Task","[FE][공통] UX/IA 라우팅 맵 정리","랜딩, 광장, 각 콘텐츠, 결과/복귀 경로를 한 장으로 정리한다.","High","fe,mvp,common"
"Task","[FE][공통] 프로젝트 라우팅/페이지 쉘 구성","모든 주요 페이지의 route와 placeholder 화면을 연결한다.","High","fe,mvp,common"
"Task","[FE][공통] 익명 UUID 생성/복구 훅 구현","localStorage/cookie 이중 저장과 복구를 구현한다.","High","fe,mvp,common"
"Task","[FE][공통] API 클라이언트/mock adapter 구조 구현","페이지가 mock 데이터와 실제 API 교체 구조를 공유하도록 만든다.","High","fe,mvp,common"
"Task","[FE][공통] DrawingCanvas 기본 렌더링/포인터 입력 구현","마우스/터치로 선을 그릴 수 있는 공통 canvas를 만든다.","Highest","fe,mvp,common,drawing"
"Task","[FE][공통] 색상 팔레트/브러시/지우개 툴바 구현","색상, 굵기, 펜, 지우개를 공통으로 사용할 수 있게 만든다.","Highest","fe,mvp,common,drawing"
"Task","[FE][공통] Undo/Redo drawing history 구현","드로잉 변경을 되돌리기/다시하기 할 수 있게 만든다.","High","fe,mvp,common,drawing"
"Task","[FE][공통] 캔버스 이미지 export 유틸 구현","canvas 결과를 이미지 blob/dataURL로 변환하는 유틸을 만든다.","High","fe,mvp,common,drawing"
"Task","[FE][공통] 결과물/인벤토리 데이터 모델 및 mock store 구현","각 콘텐츠 결과물을 공통 모델로 저장/조회한다.","High","fe,mvp,common,inventory"
"Task","[FE][공통] Modal/Toast/BottomSheet 구현","주요 피드백 UI를 공통 컴포넌트로 제공한다.","High","fe,mvp,common"
"Story","[FE][랜딩] 랜딩 온보딩 화면 MVP 구현","사용자가 서비스 소개를 보고 광장으로 진입할 수 있다.","High","fe,mvp,landing"
"Story","[FE][랜딩] 콘텐츠 카드/usecase 섹션 및 CTA 연결","주요 콘텐츠 카드가 광장 또는 콘텐츠 route로 연결된다.","High","fe,mvp,landing"
"Story","[FE][광장] 3D 광장 허브 씬 기본 구현","중앙 광장과 콘텐츠 존이 한 화면에 표시된다.","High","fe,mvp,plaza,threejs"
"Story","[FE][광장] 콘텐츠 존 선택/카메라 포커스 인터랙션 구현","콘텐츠 존 선택 시 포커스/선택 상태가 표시된다.","High","fe,mvp,plaza,threejs"
"Story","[FE][광장] 콘텐츠 라우팅/복귀 동선 구현","광장에서 각 콘텐츠로 이동하고 다시 돌아올 수 있다.","High","fe,mvp,plaza,routing"
"Story","[FE][커뮤니티] 캔버스 벽 조회/메모 리스트 렌더링","mock 메모 목록을 벽에 렌더링한다.","High","fe,mvp,community"
"Story","[FE][커뮤니티] 새 메모 작성 진입/텍스트 드로잉 모드 구현","텍스트/드로잉 기반 새 메모를 만들 수 있다.","High","fe,mvp,community,drawing"
"Story","[FE][커뮤니티] 인벤토리 결과물 선택 후 메모 출력 UI 구현","인벤토리 결과물을 선택해 메모지로 전환한다.","High","fe,mvp,community,inventory"
"Story","[FE][커뮤니티] 메모 부착 위치 선택/미리보기 구현","사용자가 벽 위치를 선택하고 부착 미리보기를 본다.","High","fe,mvp,community"
"Story","[FE][커뮤니티] 신고 버튼/신고 완료 상태 구현","신고 모달과 신고 완료 상태가 동작한다.","Medium","fe,mvp,community,report"
"Story","[FE][릴레이] 방 생성/방코드/공유 링크 화면 구현","방 생성 후 코드와 공유 링크를 볼 수 있다.","High","fe,mvp,relay,share"
"Story","[FE][릴레이] 닉네임 입력/대기실/참여자 목록 구현","닉네임 입력 후 대기실에 참여자 목록이 표시된다.","High","fe,mvp,relay"
"Story","[FE][릴레이] 3라운드 드로잉 화면 구현","얼굴/몸통/다리 라운드에서 공통 DrawingCanvas를 사용한다.","High","fe,mvp,relay,drawing"
"Story","[FE][운세] 운세 존 진입/뽑기 화면 구현","광장에서 운세 뽑기 화면으로 진입할 수 있다.","Medium","fe,mvp,fortune"
"Story","[FE][운세] 운세 결과 카드 UI 구현","뽑기 결과 텍스트/이미지가 카드로 표시된다.","Medium","fe,mvp,fortune"
"Story","[FE][플립북] 프레임 드로잉 캔버스 화면 구현","각 프레임을 공통 DrawingCanvas로 그릴 수 있다.","High","fe,mvp,flipbook,drawing"
"Story","[FE][플립북] 프레임 추가/이전 프레임 어니언스킨 구현","프레임 추가와 이전 프레임 반투명 표시가 동작한다.","High","fe,mvp,flipbook"
"Story","[FE][문의] 고객 문의 폼 MVP 구현","문의 유형, 본문, 이메일 입력 후 제출한다.","Medium","fe,mvp,support"
"Task","[FE][통합] 공통 mock API 시나리오 정리 및 연결","주요 성공/실패/빈 상태 mock을 정리한다.","High","fe,mvp,qa,mock"
"Task","[FE][통합] 주요 사용자 플로우 스모크 테스트 문서화","랜딩부터 각 결과 저장까지 수동 QA 경로를 만든다.","High","fe,mvp,qa"
