"Issue Type","Summary","Description","Priority","Story Points","Labels"
"Epic","[FE] 공통 기반/디자인 시스템 MVP","공통 컴포넌트와 훅을 먼저 만든 뒤 모든 콘텐츠 페이지에서 재사용한다.","High","","fe,mvp,common"
"Task","[FE][공통] UX/IA 라우팅 맵 정리","랜딩, 광장, 각 콘텐츠, 결과/복귀 경로를 한 장으로 정리한다.","High","2","fe,mvp,common"
"Task","[FE][공통] 프로젝트 라우팅/페이지 쉘 구성","모든 주요 페이지의 route와 placeholder 화면을 연결한다.","High","3","fe,mvp,common"
"Task","[FE][공통] 익명 UUID 생성/복구 훅 구현","localStorage/cookie 이중 저장과 복구를 구현한다.","High","3","fe,mvp,common"
"Task","[FE][공통] 인앱 브라우저 감지 및 외부 브라우저 안내 구현","Kakao/Instagram 등 인앱 브라우저 감지 시 안내 오버레이를 표시한다.","High","3","fe,mvp,common"
"Task","[FE][공통] API 클라이언트/mock adapter 구조 구현","페이지가 mock 데이터와 실제 API 교체 구조를 공유하도록 만든다.","High","3","fe,mvp,common"
"Task","[FE][공통] DrawingCanvas 기본 렌더링/포인터 입력 구현","마우스/터치로 선을 그릴 수 있는 공통 canvas를 만든다.","Highest","5","fe,mvp,common,drawing"
"Task","[FE][공통] 색상 팔레트/브러시/지우개 툴바 구현","색상, 굵기, 펜, 지우개를 공통으로 사용할 수 있게 만든다.","Highest","3","fe,mvp,common,drawing"
"Task","[FE][공통] Undo/Redo drawing history 구현","드로잉 변경을 되돌리기/다시하기 할 수 있게 만든다.","High","3","fe,mvp,common,drawing"
"Task","[FE][공통] 캔버스 이미지 export 유틸 구현","canvas 결과를 이미지 blob/dataURL로 변환하는 유틸을 만든다.","High","3","fe,mvp,common,drawing"
"Task","[FE][공통] 결과물/인벤토리 데이터 모델 및 mock store 구현","각 콘텐츠 결과물을 공통 모델로 저장/조회한다.","High","3","fe,mvp,common,inventory"
"Task","[FE][공통] ShareInvitePanel 링크/QR UI 구현","방코드, 공유 링크, QR placeholder가 표시되는 공통 패널을 만든다.","Medium","3","fe,mvp,common,share"
"Task","[FE][공통] Modal/Toast/BottomSheet 구현","주요 피드백 UI를 공통 컴포넌트로 제공한다.","High","3","fe,mvp,common"
"Task","[FE][공통] ReportModal/신고 사유 선택 컴포넌트 구현","신고 사유 선택과 완료 상태를 공통으로 쓴다.","Medium","2","fe,mvp,common,report"
"Task","[FE][공통] Loading/Error/Empty 상태 컴포넌트 구현","모든 페이지에서 공통 상태 화면을 사용한다.","Medium","2","fe,mvp,common"
"Task","[FE][공통] 반응형 레이아웃 기준/모바일 터치 영역 적용","모바일 기본 터치 영역과 화면 폭 기준을 정리한다.","Medium","2","fe,mvp,common,mobile"
"Epic","[FE] 랜딩/광장 진입 MVP","랜딩에서 광장으로 진입하고 광장에서 각 콘텐츠로 이동하는 기본 흐름을 구현한다.","High","","fe,mvp,landing,plaza"
"Story","[FE][랜딩] 랜딩 온보딩 화면 MVP 구현","사용자가 서비스 소개를 보고 광장으로 진입할 수 있다.","High","3","fe,mvp,landing"
"Story","[FE][랜딩] 콘텐츠 카드/usecase 섹션 및 CTA 연결","주요 콘텐츠 카드가 광장 또는 콘텐츠 route로 연결된다.","High","3","fe,mvp,landing"
"Task","[FE][랜딩] 외부 브라우저 안내/UUID 초기화 연결","랜딩 진입 시 공통 guard와 UUID 초기화를 실행한다.","Medium","2","fe,mvp,landing"
"Story","[FE][광장] 3D 광장 허브 씬 기본 구현","중앙 광장과 콘텐츠 존이 한 화면에 표시된다.","High","5","fe,mvp,plaza,threejs"
"Story","[FE][광장] 콘텐츠 존 선택/카메라 포커스 인터랙션 구현","콘텐츠 존 선택 시 포커스/선택 상태가 표시된다.","High","5","fe,mvp,plaza,threejs"
"Story","[FE][광장] 콘텐츠 라우팅/복귀 동선 구현","광장에서 각 콘텐츠로 이동하고 다시 돌아올 수 있다.","High","3","fe,mvp,plaza,routing"
